customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total
0002-ORFBO,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one-year,yes,mailed-check,65.6,593.3
0003-MKNFE,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed-check,59.9,542.4
0004-TLHLJ,yes,male,0,no,no,4,yes,no,fiber-optic,no,no,yes,no,no,no,month-to-month,yes,electronic-check,73.9,280.85
0011-IGKFF,yes,male,1,yes,no,13,yes,no,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic-check,98.0,1237.85
0013-EXCHZ,yes,female,1,yes,no,3,yes,no,fiber-optic,no,no,no,yes,yes,no,month-to-month,yes,mailed-check,83.9,267.4
0013-MHZWF,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit-card-(automatic),69.4,571.45
0013-SMEOE,no,female,1,yes,no,71,yes,no,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,bank-transfer-(automatic),109.7,7904.25
0014-BMAQU,no,male,0,yes,no,63,yes,yes,fiber-optic,yes,no,no,yes,no,no,two-year,yes,credit-card-(automatic),84.65,5377.8
0015-UOCOJ,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic-check,48.2,340.35
0016-QLJIS,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two-year,yes,mailed-check,90.45,5957.9
0017-DINOC,no,male,0,no,no,54,no,no phone service,dsl,yes,no,no,yes,yes,no,two-year,no,credit-card-(automatic),45.2,2460.55
0017-IUDMW,no,female,0,yes,yes,72,yes,yes,fiber-optic,yes,yes,yes,yes,yes,yes,two-year,yes,credit-card-(automatic),116.8,8456.75
